
ELASTIC
Ar
 1.360e-5
PROCESS: e + Ar -> e + Ar
COMMENT: m/M = 1.36e-05 | "MOMENTUM TRANSFER" identified as "ELASTIC"
COLUMN1: Energy in eV
COLUMN2: Elastic in m2
UPDATED: 2010-06-21 15:29:59
--------------------------------
  0.000e+0	  7.920e-20
  3.000e-3	  5.744e-20
  6.000e-3	  4.996e-20
  1.000e-2	  4.316e-20
  1.200e-2	  4.047e-20
  1.400e-2	  3.809e-20
  1.700e-2	  3.498e-20
  2.000e-2	  3.229e-20
  2.500e-2	  2.818e-20
  3.000e-2	  2.532e-20
  3.500e-2	  2.261e-20
  4.000e-2	  2.029e-20
  5.000e-2	  1.647e-20
  6.000e-2	  1.347e-20
  7.000e-2	  1.108e-20
  8.000e-2	  9.128e-21
  9.000e-2	  7.519e-21
  1.000e-1	  6.211e-21
  1.100e-1	  5.119e-21
  1.200e-1	  4.218e-21
  1.300e-1	  3.498e-21
  1.400e-1	  2.858e-21
  1.500e-1	  2.346e-21
  1.700e-1	  1.624e-21
  1.800e-1	  1.368e-21
  1.900e-1	  1.171e-21
  2.000e-1	  1.035e-21
  2.100e-1	  9.410e-22
  2.200e-1	  8.860e-22
  2.300e-1	  8.670e-22
  2.400e-1	  8.780e-22
  2.500e-1	  9.170e-22
  2.600e-1	  9.780e-22
  2.700e-1	  1.060e-21
  2.800e-1	  1.161e-21
  3.000e-1	  1.406e-21
  3.500e-1	  2.206e-21
  4.000e-1	  3.152e-21
  5.000e-1	  5.169e-21
  7.000e-1	  8.956e-21
  8.000e-1	  1.068e-20
  1.000e+0	  1.403e-20
  1.200e+0	  1.660e-20
  1.500e+0	  2.050e-20
  1.700e+0	  2.330e-20
  2.000e+0	  2.700e-20
  2.500e+0	  3.430e-20
  3.000e+0	  4.100e-20
  4.000e+0	  5.400e-20
  5.000e+0	  7.000e-20
  6.000e+0	  8.600e-20
  7.000e+0	  1.020e-19
  8.000e+0	  1.230e-19
  1.000e+1	  1.580e-19
  1.200e+1	  1.650e-19
  1.700e+1	  1.310e-19
  2.000e+1	  1.150e-19
  2.500e+1	  9.000e-20
  3.000e+1	  7.200e-20
  7.500e+1	  3.500e-20
--------------------------------
